Category,Test RMSE,Test MAE,Test R²,Quality
Audio,13271.621630517773,989.8733544551965,0.729948990347695,good
Cameras,2018.6135092711825,312.8116438423715,0.9884810548106329,good
Climate Control,1393.1723566015937,232.0252466633009,0.9878248089585493,good
Computers,5038.412916045181,548.2625457509358,0.9335841320166247,good
Home Entertainment,4111.46853940202,596.7838842970749,0.8995670350479236,good
Home Improvement,459.29863186799525,62.616063728911755,0.9750505449003776,good
Home Office,416.42007471723474,114.98284997394038,0.9986326187001744,good
Kitchen Appliances,1017.2099810153017,141.36086459297664,0.9716408473310456,good
Mobile Accessories,140.6159038586034,29.47186020641792,0.992822404529419,good
Smartwatches,460.5478659800226,100.35598714919318,0.998104481205175,good
