product_name,actual_price,discount_percentage,brand,rating,rating_count,subcategory,category,category_median_price,brand_avg_price,brand_product_count,manufacturing_cost,brand_tier,product_type,quality_tier,price_to_cost_ratio,price_to_category_median_ratio,price_to_brand_avg_ratio,complexity_score,technology_level,feature_count,price_segment,value_score,brand_strength,premium_index,price_elasticity,estimated_units_sold,seasonal_relevance,is_new_release,rating_x_count,search_term,main_category,discounted_price,price_competitiveness_ratio,profit_margin_ratio,competitor_undercut_potential,is_budget_segment,is_mid_segment,is_premium_segment,customer_attraction_score,feature_to_price_ratio,tech_value_proposition,relative_to_lowest_quartile,value_adjusted_price,category_price_index,demand_indicator,brand_power_price_ratio,new_seller_competitive_price,sustainable_price,ideal_customer_attraction_price,market_penetration_potential,elasticity_adjusted_value
"Prolet Cute Phone Stand Holder,Creative Astronaut Design Foldable Cell Phone Kickstand for Desk,Bling Creative Phone Ring Compatible All Phones and Tablets for Men & Woman-White",799.0,86.4,Prolet,4.1,227.0,phone ring holder,Mobile Accessories,329.0,129.0,2,54.5,mid-range,input_device,1.0,2.0,0.331306990881459,0.8449612403100775,0.5,1.0,8.0,budget,2.4750458715596326,22.24229507167375,0.331306990881459,0.2314814814814814,6810.0,0.2,0.0,930.7,phone ring holder,Mobile Accessories,109.0,0.21887550200803213,2.0,0.44999999999999996,1,0,0,2.8125332005154835,0.07339449541284404,4.568807339449541,0.3906810035842294,-160.77999999999994,0.21887550200803213,256.15596330275224,10.162076096966539,87.2,59.95,237.15,2.1373988127361034,10.692198165137617
"Portronics Conch Tune C in Ear Type C Wired Earphones with Mic,10mm Driver, 1.2m Nylon Braided Anti Tangle Wire, in line Controls, Metal Alloy Body, Wide Compatibility(Grey)",799.0,56.3,Portronics,3.7,3504.0,wired earphones,Mobile Accessories,299.0,323.75,4,174.5,mid-range,input_device,1.0,2.0,1.1672240802675586,1.077992277992278,0.5,1.0,8.0,mid-range,0.6339828080229226,30.198143672608243,1.1672240802675586,0.3552397868561279,105120.0,0.2,0.0,12964.8,wired earphones,Mobile Accessories,349.0,0.7008032128514057,2.0,0.44999999999999996,0,1,0,0.8903669551370131,0.022922636103151862,1.4269340974212033,1.2508960573476702,127.74000000000001,0.7008032128514057,1114.4527220630373,4.309076088526907,279.2,191.95000000000002,237.15,0.35706165658362354,1.7846616045845272
NEWTECHNO Orig-nal ONE Touch Use Technology Magnetic Mobile Phone Holder for Car Dashboard/Car Mount Mobile (World's Strongest and Safest Magnets) - for Use in Car/Office/Home/Bike/Scooter,1999.0,85.0,NEWTECHNO,4.0,41.0,car phone mount,Mobile Accessories,399.0,299.0,1,149.5,mid-range,input_device,1.0,2.0,0.7493734335839599,1.0,0.5,1.0,8.0,mid-range,1.0675585284280935,14.854288266817232,0.7493734335839599,0.2352941176470588,1230.0,0.2,0.0,164.0,car phone mount,Mobile Accessories,299.0,0.6004016064257028,2.0,0.44999999999999996,0,1,0,1.0658320485708774,0.026755852842809364,1.665551839464883,1.07168458781362,-20.19999999999996,0.6004016064257028,16.45484949832776,2.474058714673907,239.20000000000002,164.45000000000002,237.15,0.9078786885081336,4.537123745819398
"Mobile Arm Holder, Water Resistant Sports Phone Holder with Adjustable Band and Earphone Jack, Suitable for Running, Walking, and Cycling (Only Suitable for Phones Under 6 inches)",999.0,70.1,Mobile,4.0,68.0,armband phone holder,Mobile Accessories,359.0,299.0,1,149.5,mid-range,input_device,1.0,2.0,0.8328690807799443,1.0,0.5,1.0,8.0,mid-range,0.9605351170568562,16.878030820704428,0.8328690807799443,0.2853067047075606,2040.0,0.2,0.0,272.0,armband phone holder,Mobile Accessories,299.0,0.6004016064257028,2.0,0.44999999999999996,0,1,0,0.9994726648910126,0.026755852842809364,1.665551839464883,1.07168458781362,11.799999999999985,0.6004016064257028,27.29096989966555,2.8111235279969247,239.20000000000002,164.45000000000002,237.15,0.6730476295693687,3.366675585284282
Amazon Brand - Solimo Tempered Glass Screen Protector Compatible with Samsung Galaxy A56 5G Transparent Protective Film [Clear HD],399.0,62.7,Samsung,0.0,0.0,screen protector,Mobile Accessories,237.0,540.343076923077,26,74.5,mid-range,input_device,1.0,2.0,0.6286919831223629,0.2757507338642401,0.5,1.0,8.0,mid-range,0.0,0.0,0.6286919831223629,0.3189792663476873,0.0,0.2,0.0,0.0,screen protector,Mobile Accessories,149.0,0.2991967871485944,2.0,0.44999999999999996,1,0,0,-0.1495983935742972,0.053691275167785234,3.3422818791946307,0.5340501792114696,149.0,0.2991967871485944,0.0,0.0,119.2,81.95,237.15,0.0,0.0
CALANDIS™ Mini in Ear Earphones IPX5 Waterproof HD Call Stereo Sound Wireless Earbuds Skin Color | Headsets | Cell Phone Accessories,2370.0,34.3,CALANDIS™,0.0,0.0,wireless earbuds,Mobile Accessories,712.0,1047.4545454545455,11,778.5,mid-range,input_device,1.0,2.0,2.186797752808989,1.4864606839090435,0.5,1.0,8.0,premium,0.0,0.0,2.186797752808989,0.5830903790087464,0.0,0.2,0.0,0.0,wireless earbuds,Mobile Accessories,1557.0,3.1265060240963853,2.0,0.45,0,0,1,-1.5632530120481927,0.005138086062941554,0.3198458574181118,5.580645161290323,1557.0,3.1265060240963853,0.0,0.0,1245.6000000000001,856.35,856.35,0.0,0.0
"Half Hand Gaming Keyboard and Mouse Combo, 4 in 1 Mobile Game Combo Pack, Mobile Gamepad Controller, One Handed Gaming Keyboard, Mouse Converter, Adjustable Phone Stand,03NUPGTBVW With USB Connection",4990.0,40.1,Half,0.0,0.0,phone gaming controller,Mobile Accessories,899.0,2990.0,1,1495.0,mid-range,input_device,1.0,2.0,3.3259176863181312,1.0,0.5,1.0,8.0,premium,0.0,0.0,3.3259176863181312,0.4987531172069825,0.0,0.2,0.0,0.0,phone gaming controller,Mobile Accessories,2990.0,6.004016064257028,2.0,0.4499999999999999,0,0,1,-3.002008032128514,0.0026755852842809363,0.1665551839464883,10.716845878136201,2990.0,6.004016064257028,0.0,0.0,2392.0,1644.5000000000002,1644.5000000000002,0.0,0.0
Xfopz Adjustable Cell Phone Lanyard Crossbody Neck Strap & Phone Wrist Strap with Tether Tabs Compatible for iPhone Android Smartphones,999.0,70.1,Xfopz,0.0,0.0,phone lanyard,Mobile Accessories,379.0,299.0,1,149.5,mid-range,input_device,1.0,2.0,0.7889182058047494,1.0,0.5,1.0,8.0,mid-range,0.0,0.0,0.7889182058047494,0.2853067047075606,0.0,0.2,0.0,0.0,phone lanyard,Mobile Accessories,299.0,0.6004016064257028,2.0,0.44999999999999996,0,1,0,-0.3002008032128514,0.026755852842809364,1.665551839464883,1.07168458781362,299.0,0.6004016064257028,0.0,0.0,239.20000000000002,164.45000000000002,237.15,0.0,0.0
"CALANDIS™ Earphones Protective Cover for Airpods Wireless Earphone Case Blue | Cases, Covers & Skins | Cell Phone Accessories",532.0,42.1,CALANDIS™,0.0,0.0,wireless earbuds,Mobile Accessories,712.0,1047.4545454545455,11,154.0,mid-range,input_device,1.0,2.0,0.4325842696629213,0.2940461725394896,0.5,1.0,8.0,budget,0.0,0.0,0.4325842696629213,0.4750593824228028,0.0,0.2,0.0,0.0,wireless earbuds,Mobile Accessories,308.0,0.6184738955823293,2.0,0.44999999999999996,0,1,0,-0.3092369477911647,0.025974025974025976,1.6168831168831168,1.103942652329749,308.0,0.6184738955823293,0.0,0.0,246.4,169.4,237.15,0.0,0.0
"Kratos K6 Upgraded 61 Inch Long Selfie Stick, Balance Handle for Anti Shake Shooting, 6 Section Telescopic design fr Wide-Angle Photography, Selfie Stick with Tripod stand for Gopro,Camera & Ringlight",4999.0,74.0,Kratos,4.3,263.0,phone tripod,Mobile Accessories,798.0,1386.9566666666667,6,649.5,mid-range,input_device,1.0,2.0,1.6278195488721805,0.936582974233754,0.5,1.0,8.0,mid-range,0.5283140877598153,23.960262338364387,1.6278195488721805,0.2702702702702703,7890.0,0.2,0.0,1130.9,phone tripod,Mobile Accessories,1299.0,2.608433734939759,2.0,0.44999999999999996,0,0,1,-0.2944577612474497,0.006158583525789068,0.3833718244803695,4.655913978494624,612.72,2.608433734939759,26.117782909930717,0.918568948768704,1039.2,714.45,714.45,0.39103063106847696,1.9547621247113163
